"code";"Weights";"Predictors";"Ensamble";"Probability";"upper";"lower";"Age_group";"Gender";"num_pats.";"prevalence";"Pred_Ens_Weights";"pathString"
"J15";"3";"O_H_diag_J15";0,435194464722978;0,352420327744893;0,400439243169;0,307209174444404;"[65, 75)";"F";130446;0,02;"O_H_diag_J15, 0.44, 30.35,0.02";"AllWaves|[65, 75)|F|O_H_diag_J15, 0.44, 30.35,0.02"
"J15";"2";"O_H_diag_J15";0,365375186513826;0,397160960854602;0,407380609402439;0,387030252051199;"All";"Both";130446;0,02;"O_H_diag_J15, 0.37, 20.4,0.02";"AllWaves|All|Both|O_H_diag_J15, 0.37, 20.4,0.02"
"J15";"3";"O_H_diag_J15";0,418215049427468;0,188946611436242;0,222390640054159;0,159500411866524;"[65, 75)";"M";130446;0,02;"O_H_diag_J15, 0.42, 30.19,0.02";"AllWaves|[65, 75)|M|O_H_diag_J15, 0.42, 30.19,0.02"
"J15";"1";"O_H_diag_J15";0,302075136988385;0,454676460236332;0,522556668606342;0,388440007794031;"[0, 18)";"M";130446;0,02;"O_H_diag_J15, 0.3, 10.45,0.02";"AllWaves|[0, 18)|M|O_H_diag_J15, 0.3, 10.45,0.02"
"J15";"1";"O_H_diag_J15";0,322194263963563;0,413133443476744;0,435291549734327;0,391321656582202;"[18, 65)";"F";130446;0,02;"O_H_diag_J15, 0.32, 10.41,0.02";"AllWaves|[18, 65)|F|O_H_diag_J15, 0.32, 10.41,0.02"
"J15";"2";"O_H_diag_J15";0,34713984261178;0,192181893445651;0,23216481905844;0,157670785072175;"[75,102)";"F";130446;0,02;"O_H_diag_J15, 0.35, 20.19,0.02";"AllWaves|[75,102)|F|O_H_diag_J15, 0.35, 20.19,0.02"
"J15";"1";"O_H_diag_J15";0,315111743122733;0,441888008874342;0,512255486020317;0,373779124475403;"[0, 18)";"F";130446;0,02;"O_H_diag_J15, 0.32, 10.44,0.02";"AllWaves|[0, 18)|F|O_H_diag_J15, 0.32, 10.44,0.02"
"J45";"1";"O_H_diag_J45";0,357299411046612;0,340313509857116;0,385854643776958;0,297543311909808;"[65, 75)";"F";280043;0,05;"O_H_diag_J45, 0.36, 10.34,0.05";"AllWaves|[65, 75)|F|O_H_diag_J45, 0.36, 10.34,0.05"
"J45";"1";"O_H_diag_J45";0,313519559074457;0,190644234813942;0,230173065336491;0,156523640176656;"[75,102)";"F";280043;0,05;"O_H_diag_J45, 0.31, 10.19,0.05";"AllWaves|[75,102)|F|O_H_diag_J45, 0.31, 10.19,0.05"
"J45";"2";"O_H_diag_J45";0,31961729804645;0,456495615433684;0,525093117444107;0,389509560564591;"[0, 18)";"M";280043;0,05;"O_H_diag_J45, 0.32, 20.46,0.05";"AllWaves|[0, 18)|M|O_H_diag_J45, 0.32, 20.46,0.05"
"J45";"2";"O_H_diag_J45";0,334440221419845;0,444401720481685;0,515660077766078;0,375359048718978;"[0, 18)";"F";280043;0,05;"O_H_diag_J45, 0.33, 20.44,0.05";"AllWaves|[0, 18)|F|O_H_diag_J45, 0.33, 20.44,0.05"
"J96";"4";"O_H_diag_J96";0,457350408949768;0,410694584489846;0,421541514922489;0,399933792983579;"All";"Both";52201;0,01;"O_H_diag_J96, 0.46, 40.41,0.01";"AllWaves|All|Both|O_H_diag_J96, 0.46, 40.41,0.01"
"J96";"4";"O_H_diag_J96";0,48229925282628;0,412618777809044;0,432852764720992;0,392675762991613;"[18, 65)";"M";52201;0,01;"O_H_diag_J96, 0.48, 40.41,0.01";"AllWaves|[18, 65)|M|O_H_diag_J96, 0.48, 40.41,0.01"
"J96";"4";"O_H_diag_J96";0,4695150770447;0,348726536006634;0,382538570727473;0,316371815905617;"[75,102)";"M";52201;0,01;"O_H_diag_J96, 0.47, 40.35,0.01";"AllWaves|[75,102)|M|O_H_diag_J96, 0.47, 40.35,0.01"
"J96";"3";"O_H_diag_J96";0,366467514251906;0,448573151843023;0,521298136757882;0,37798282133852;"[0, 18)";"F";52201;0,01;"O_H_diag_J96, 0.37, 30.45,0.01";"AllWaves|[0, 18)|F|O_H_diag_J96, 0.37, 30.45,0.01"
"J96";"4";"O_H_diag_J96";0,515465999703782;0,196297705037863;0,231446469109001;0,165338493062778;"[65, 75)";"M";52201;0,01;"O_H_diag_J96, 0.52, 40.2,0.01";"AllWaves|[65, 75)|M|O_H_diag_J96, 0.52, 40.2,0.01"
